FRAME;time.TIME;in_chassis_acceleration.longitudinal;in_chassis_velocity.pitch;cueing_velocity.pitch;cueing_acceleration.longitudinal;cueing_position.pitch;cueing_position.longitudinal;OUT5_XY;OUT6_XY;in_chassis_acceleration.lateral;in_chassis_velocity.roll;cueing_velocity.roll;cueing_acceleration.lateral;cueing_position.roll;cueing_position.lateral;OUT5_XY;OUT6_XY;chassis_velocity.yaw;IN2_ZA;in_cueing_velocity.yaw;cueing_position.yaw;OUT3_ZA;in_chassis_acceleration.vertical;IN2_ZV;cueing_acceleration.vertical;cueing_position.vertical;OUT3_ZV;CYCLE_MICROSECS_YX;CYCLE_MICROSECS_XY;CYCLE_MICROSECS_ZA;CYCLE_MICROSECS_ZV;TOT_TIME;cueing_position.longitudinalHP;cueing_position.longitudinalLP;cueing_position.lateralHP;cueing_position.lateralLP;cueing_position.yawHP;cueing_position.yawLP;actual_velocity.x;actual_velocity.y;actual_velocity.z;actual_velocity.yaw;actual_velocity.pitch;actual_velocity.roll;actual_acc.x;actual_acc.y;actual_acc.z;actual_acc.yaw;actual_acc.pitch;actual_acc.roll;status_xy;status_yx;status_za;status_zv;actT1_lenght;actT1_pos.X;actT1_pos.Y;actT1_pos.Z;actT1_pos.YAW;actT1_pos.PITCH;actT1_pos.ROLL;actT1_pos.PSI;actT1_pos.THETA;actT1_pos.PHI;actT2_lenght;actT2_pos.X;actT2_pos.Y;actT2_pos.Z;actT2_pos.YAW;actT2_pos.PITCH;actT2_pos.ROLL;actT2_pos.PSI;actT2_pos.THETA;actT2_pos.PHI;actT3_lenght;actT3_pos.X;actT3_pos.Y;actT3_pos.Z;actT3_pos.YAW;actT3_pos.PITCH;actT3_pos.ROLL;actT3_pos.PSI;actT3_pos.THETA;actT3_pos.PHI;actH1_lenght;actH1_pos.Xtop;actH1_pos.Ytop;actH1_pos.Ztop;actH1_pos.Xbottom;actH1_pos.Ybottom;actH1_pos.Zbottom;actH1_pos.YAW;actH1_pos.PITCH;actH1_pos.ROLL;actH1_pos.PSI;actH1_pos.THETA;actH1_pos.PHI;actH2_lenght;actH2_pos.Xtop;actH2_pos.Ytop;actH2_pos.Ztop;actH2_pos.Xbottom;actH2_pos.Ybottom;actH2_pos.Zbottom;actH2_pos.YAW;actH2_pos.PITCH;actH2_pos.ROLL;actH2_pos.PSI;actH2_pos.THETA;actH2_pos.PHI;actH3_lenght;actH3_pos.Xtop;actH3_pos.Ytop;actH3_pos.Ztop;actH3_pos.Xbottom;actH3_pos.Ybottom;actH3_pos.Zbottom;actH3_pos.YAW;actH3_pos.PITCH;actH3_pos.ROLL;actH3_pos.PSI;actH3_pos.THETA;actH3_pos.PHI;actH4_lenght;actH4_pos.Xtop;actH4_pos.Ytop;actH4_pos.Ztop;actH4_pos.Xbottom;actH4_pos.Ybottom;actH4_pos.Zbottom;actH4_pos.YAW;actH4_pos.PITCH;actH4_pos.ROLL;actH4_pos.PSI;actH4_pos.THETA;actH4_pos.PHI;actH5_lenght;actH5_pos.Xtop;actH5_pos.Ytop;actH5_pos.Ztop;actH5_pos.Xbottom;actH5_pos.Ybottom;actH5_pos.Zbottom;actH5_pos.YAW;actH5_pos.PITCH;actH5_pos.ROLL;actH5_pos.PSI;actH5_pos.THETA;actH5_pos.PHI;actH6_lenght;actH6_pos.Xtop;actH6_pos.Ytop;actH6_pos.Ztop;actH6_pos.Xbottom;actH6_pos.Ybottom;actH6_pos.Zbottom;actH6_pos.YAW;actH6_pos.PITCH;actH6_pos.ROLL;actH6_pos.PSI;actH6_pos.THETA;actH6_pos.PHI;actH1_pos.PSIs;actH1_pos.THETAs;actH1_pos.PHIs;actH2_pos.PSIs;actH2_pos.THETAs;actH2_pos.PHIs;actH3_pos.PSIs;actH3_pos.THETAs;actH3_pos.PHIs;actH4_pos.PSIs;actH4_pos.THETAs;actH4_pos.PHIs;actH5_pos.PSIs;actH5_pos.THETAs;actH5_pos.PHIs;actH6_pos.PSIs;actH6_pos.THETAs;actH6_pos.PHIs;TripFrame.PSI;TripFrame.THETA;TripFrame.PHI;HexFrame.PSI;HexFrame.THETA;HexFrame.PHI;cueing_position.longitudinalinv;cueing_position.longitudinalHPinv;cueing_position.longitudinalLPinv;cueing_position.yawinv;cueing_position.yawHPinv;cueing_position.yawLPinv;cueing_position.lateralinv;cueing_position.lateralHPinv;cueing_position.lateralLPinv;actT1_pos.Xextern;actT1_pos.Yextern;actT1_pos.Zextern;actT2_pos.Xextern;actT2_pos.Yextern;actT2_pos.Zextern;actT3_pos.Xextern;actT3_pos.Yextern;actT3_pos.Zextern
1;0;-0;0;0.000569009;0.0144661;2.84504e-006;2.26033e-007;0;0.000569009;0;-0;0;0;0;0;0;0;0;0;0;0;0;-0;0;0.0017495;2.7336e-008;1.09344e-005;5731.99;4824.36;4406.36;873.15;15855.8;2.19146e-007;6.88694e-009;0;0;0;0;9.04132e-005;0;1.09344e-005;0;0.000569009;0;0.0180826;0;0.00218688;0;0;0;0;0;0;0;1.2;2.12259e-007;0.194105;-0.381;2.61799;0;0;2.61799;0;0;1.2;0.1681;-0.0970526;-0.381;0.523599;0;0;0.523599;0;0;1.2;-0.1681;-0.0970526;-0.381;-1.5708;0;0;-1.5708;0;0;1.44141;-0.290621;0.75337;1.4755;0.528171;1.16519;0.363;0.466012;0.881686;0;2.03681;0.881686;-1.5708;1.44141;0.797748;0.125;1.4755;0.744998;1.04;0.363;1.62838;0.881687;0;-3.08401;0.881687;-1.5708;1.44141;0.797748;-0.125;1.4755;0.744998;-1.04;0.363;4.6548;0.881687;0;-0.0575865;0.881687;-1.5708;1.44141;-0.290621;-0.75337;1.4755;0.528171;-1.16519;0.363;5.81717;0.881686;0;1.10478;0.881686;-1.5708;1.44141;-0.507128;-0.62837;1.4755;-1.27317;-0.125185;0.363;2.56041;0.881685;0;-2.15198;0.881685;-1.5708;1.44141;-0.507128;0.62837;1.4755;-1.27317;0.125185;0.363;3.72278;0.881685;0;-0.989611;0.881685;-1.5708;2.03681;0.881686;-1.5708;-3.08401;0.881687;-1.5708;-0.0575865;0.881687;-1.5708;1.10478;0.881686;-1.5708;-2.15198;0.881685;-1.5708;-0.989611;0.881685;-1.5708;0;0;0;-1.5708;2.84503e-006;1.5708;-2.26033e-007;-2.19146e-007;-6.88694e-009;-0;-0;-0;-0;-0;-0;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.1681;-1.29705;-0.381
2;0.005;0.000817597;0.000107321;0.0197255;0.0144364;0.000101475;9.0413e-007;0.000180826;0.019726;6.16477e-008;-2.0338e-008;-8.39415e-007;4.09774e-007;-4.19707e-009;6.4027e-012;0;-8.39415e-007;-1.9203e-008;1;-1.71608e-008;-8.5804e-011;-1.71608e-008;2.1963e-005;1;0.00193609;1.12273e-007;2.30404e-005;641.358;890.008;242.137;219.916;2007.98;8.63228e-007;4.09019e-008;6.20762e-012;1.95082e-013;-8.48751e-011;-9.28949e-013;0.000180826;2.56108e-009;2.30404e-005;-1.71608e-008;0.019726;-8.39415e-007;0.0180825;5.12216e-007;0.0024212;0;0;0;0;0;0;0;1.2;8.2231e-007;0.194105;-0.381;2.61799;0;0;2.61799;0;0;1.2;0.168101;-0.0970526;-0.381;0.523599;0;0;0.523599;0;0;1.2;-0.168099;-0.0970526;-0.381;-1.5708;0;0;-1.5708;0;0;1.44139;-0.290622;0.75337;1.47547;0.528171;1.16519;0.363;0.466012;0.881673;0;2.03681;0.881673;-1.5708;1.44148;0.797748;0.125;1.47558;0.744998;1.04;0.363;1.62838;0.881722;0;-3.08401;0.881722;-1.5708;1.44148;0.797748;-0.125;1.47558;0.744998;-1.04;0.363;4.6548;0.881722;0;-0.0575858;0.881722;-1.5708;1.44139;-0.290622;-0.75337;1.47547;0.528171;-1.16519;0.363;5.81717;0.881673;0;1.10478;0.881673;-1.5708;1.44137;-0.507128;-0.62837;1.47545;-1.27317;-0.125185;0.363;2.56041;0.881664;0;-2.15198;0.881664;-1.5708;1.44137;-0.507128;0.62837;1.47545;-1.27317;0.125185;0.363;3.72278;0.881664;0;-0.98961;0.881664;-1.5708;2.03681;0.881673;-1.5708;-3.08401;0.881722;-1.5708;-0.0575858;0.881722;-1.5708;1.10478;0.881673;-1.5708;-2.15198;0.881664;-1.5708;-0.98961;0.881664;-1.5708;-9.28949e-013;0;0;-1.57075;0.000101475;1.57075;-9.0413e-007;-8.63228e-007;-4.09019e-008;8.5804e-011;8.48751e-011;9.28949e-013;-6.4027e-012;-6.20762e-012;-1.95082e-013;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.1681;-1.29705;-0.381
3;0.01;0.0021076;0.000214096;0.0238122;0.0141734;0.000220631;2.04238e-006;0.000271238;0.0238311;9.39051e-007;-4.67171e-008;-3.0771e-006;6.29953e-006;-1.95865e-008;1.18156e-010;5.12218e-009;-3.07789e-006;-6.43856e-008;2;-6.13203e-008;-3.92486e-010;-6.13363e-008;-0.000131961;2;0.00062669;2.37296e-007;2.69687e-005;583.505;822.577;209.571;200.376;1825.61;1.9142e-006;1.28186e-007;1.14178e-010;3.97834e-012;-3.86407e-010;-6.07837e-012;0.000274475;4.21402e-008;2.69687e-005;-6.13363e-008;0.0238311;-3.07789e-006;0.01873;7.91583e-006;0.000785665;0;0;0;0;0;0;0;1.2;1.78594e-006;0.194105;-0.381;2.61799;0;0;2.61799;0;0;1.2;0.168102;-0.0970526;-0.381;0.5236;0;0;0.5236;0;0;1.2;-0.168098;-0.0970526;-0.381;-1.5708;0;0;-1.5708;0;0;1.44136;-0.290623;0.75337;1.47544;0.528171;1.16519;0.363;0.466011;0.881657;0;2.03681;0.881657;-1.5708;1.44155;0.797746;0.125;1.47568;0.744998;1.04;0.363;1.62838;0.881764;0;-3.08401;0.881764;-1.5708;1.44155;0.797746;-0.125;1.47568;0.744998;-1.04;0.363;4.6548;0.881764;0;-0.0575847;0.881764;-1.5708;1.44136;-0.290623;-0.75337;1.47544;0.528171;-1.16519;0.363;5.81717;0.881657;0;1.10479;0.881657;-1.5708;1.44133;-0.507129;-0.62837;1.47539;-1.27317;-0.125185;0.363;2.56041;0.881638;0;-2.15198;0.881638;-1.5708;1.44133;-0.507129;0.62837;1.47539;-1.27317;0.125185;0.363;3.72278;0.881638;0;-0.98961;0.881638;-1.5708;2.03681;0.881657;-1.5708;-3.08401;0.881764;-1.5708;-0.0575847;0.881764;-1.5708;1.10479;0.881657;-1.5708;-2.15198;0.881638;-1.5708;-0.98961;0.881638;-1.5708;-6.07837e-012;0;0;-1.57071;0.000220631;1.57071;-2.04238e-006;-1.9142e-006;-1.28186e-007;3.92486e-010;3.86407e-010;6.07837e-012;-1.18156e-010;-1.14178e-010;-3.97834e-012;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.1681;-1.29705;-0.381
4;0.015;0.00388045;0.000319819;0.0197867;0.0148128;0.000319771;3.67359e-006;0.000368125;0.0198279;2.56023e-006;-8.42681e-008;-5.53647e-006;1.81717e-005;-4.72872e-008;6.15243e-010;8.17195e-008;-5.54013e-006;-1.41697e-007;3;-1.3595e-007;-1.0726e-009;-1.36023e-007;-0.000415542;3;-0.00210024;3.39357e-007;1.38557e-005;542.893;788.862;200.376;202.675;1743.24;3.37906e-006;2.94533e-007;5.89162e-010;2.60817e-011;-1.05085e-009;-2.1752e-011;0.000378009;1.56695e-007;1.38557e-005;-1.36023e-007;0.0198279;-5.54013e-006;0.0207068;2.29109e-005;-0.00262261;0;0;0;0;0;0;0;1.2;3.08433e-006;0.194105;-0.381;2.618;0;0;2.618;0;0;1.2;0.168103;-0.0970526;-0.381;0.5236;0;0;0.5236;0;0;1.2;-0.168097;-0.0970526;-0.381;-1.5708;0;0;-1.5708;0;0;1.44134;-0.290625;0.75337;1.47541;0.528171;1.16519;0.363;0.46601;0.881644;0;2.03681;0.881644;-1.5708;1.44161;0.797745;0.125;1.47576;0.744998;1.04;0.363;1.62838;0.881799;0;-3.08401;0.881799;-1.5708;1.44161;0.797745;-0.125;1.47576;0.744998;-1.04;0.363;4.65481;0.881799;0;-0.057583;0.881799;-1.5708;1.44134;-0.290625;-0.75337;1.47541;0.528171;-1.16519;0.363;5.81717;0.881644;0;1.10479;0.881644;-1.5708;1.44129;-0.507131;-0.62837;1.47534;-1.27317;-0.125185;0.363;2.56041;0.881616;0;-2.15198;0.881616;-1.5708;1.44129;-0.507131;0.62837;1.47534;-1.27317;0.125185;0.363;3.72278;0.881616;0;-0.989609;0.881616;-1.5708;2.03681;0.881644;-1.5708;-3.08401;0.881799;-1.5708;-0.057583;0.881799;-1.5708;1.10479;0.881644;-1.5708;-2.15198;0.881616;-1.5708;-0.989609;0.881616;-1.5708;-2.1752e-011;0;0;-1.57065;0.000319771;1.57065;-3.67359e-006;-3.37906e-006;-2.94533e-007;1.0726e-009;1.05085e-009;2.1752e-011;-6.15243e-010;-5.89162e-010;-2.60817e-011;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.1681;-1.29705;-0.381
5;0.02;0.00614345;0.000423849;0.0225741;0.0169498;0.00043294;5.86814e-006;0.000481543;0.0226338;4.64566e-006;-1.39091e-007;-7.88737e-006;3.3146e-005;-8.67682e-008;1.92261e-009;2.7125e-007;-7.8962e-006;-2.61789e-007;4;-2.53472e-007;-2.34096e-009;-2.53672e-007;-0.00075376;4;-0.00505596;3.29653e-007;-1.77372e-005;530.25;775.453;209.188;193.863;1716.8;5.30083e-006;5.6731e-007;1.8208e-009;1.01818e-010;-2.28293e-009;-5.80357e-011;0.000499807;3.66253e-007;-1.77372e-005;-2.53672e-007;0.0226338;-7.8962e-006;0.0243596;4.19117e-005;-0.00631857;0;0;0;0;0;0;0;1.2;4.73308e-006;0.194105;-0.381;2.618;0;0;2.618;0;0;1.2;0.168105;-0.0970526;-0.381;0.523601;0;0;0.523601;0;0;1.2;-0.168095;-0.0970526;-0.381;-1.5708;0;0;-1.5708;0;0;1.44132;-0.290627;0.75337;1.47537;0.528171;1.16519;0.363;0.466009;0.881628;0;2.03681;0.881628;-1.5708;1.44168;0.797743;0.125;1.47585;0.744997;1.04;0.363;1.62838;0.881839;0;-3.08401;0.881839;-1.5708;1.44168;0.797743;-0.125;1.47585;0.744997;-1.04;0.363;4.65481;0.881839;0;-0.0575809;0.881839;-1.5708;1.44132;-0.290627;-0.75337;1.47537;0.528171;-1.16519;0.363;5.81718;0.881628;0;1.10479;0.881628;-1.5708;1.44124;-0.507133;-0.62837;1.47528;-1.27317;-0.125185;0.363;2.5604;0.881592;0;-2.15199;0.881592;-1.5708;1.44124;-0.507133;0.62837;1.47528;-1.27317;0.125185;0.363;3.72278;0.881592;0;-0.989608;0.881592;-1.5708;2.03681;0.881628;-1.5708;-3.08401;0.881839;-1.5708;-0.0575809;0.881839;-1.5708;1.10479;0.881628;-1.5708;-2.15199;0.881592;-1.5708;-0.989608;0.881592;-1.5708;-5.80357e-011;0;0;-1.5706;0.00043294;1.5706;-5.86814e-006;-5.30083e-006;-5.6731e-007;2.34096e-009;2.28293e-009;5.80357e-011;-1.92261e-009;-1.8208e-009;-1.01818e-010;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.168101;-1.29705;-0.381
6;0.025;0.00894117;0.0005254;0.019128;0.0209703;0.000528984;8.74849e-006;0.000621605;0.0192088;7.49031e-006;-2.18125e-007;-1.11547e-005;5.36488e-005;-1.42623e-007;4.60323e-009;5.75813e-007;-1.11709e-005;-4.32285e-007;5;-4.20241e-007;-4.44435e-009;-4.20678e-007;-0.00119122;5;-0.00887592;1.02258e-007;-7.32206e-005;531.782;781.966;195.779;202.675;1719.86;7.7704e-006;9.7809e-007;4.30878e-009;2.94447e-010;-4.31465e-009;-1.29701e-010;0.000652335;7.05994e-007;-7.32206e-005;-4.20678e-007;0.0192088;-1.11709e-005;0.0305056;6.79481e-005;-0.0110967;0;0;0;0;0;0;0;1.20001;6.7915e-006;0.194105;-0.381;2.618;0;0;2.618;0;0;1.19999;0.168107;-0.0970526;-0.381;0.523602;0;0;0.523602;0;0;1.2;-0.168093;-0.0970526;-0.381;-1.5708;0;0;-1.5708;0;0;1.4413;-0.29063;0.75337;1.47535;0.52817;1.16519;0.363;0.466008;0.881615;0;2.0368;0.881615;-1.5708;1.44174;0.79774;0.125;1.47592;0.744997;1.04;0.363;1.62837;0.881872;0;-3.08401;0.881872;-1.5708;1.44174;0.79774;-0.125;1.47592;0.744997;-1.04;0.363;4.65481;0.881872;0;-0.0575782;0.881872;-1.5708;1.4413;-0.29063;-0.75337;1.47535;0.52817;-1.16519;0.363;5.81718;0.881614;0;1.10479;0.881614;-1.5708;1.4412;-0.507136;-0.62837;1.47523;-1.27317;-0.125185;0.363;2.5604;0.881571;0;-2.15199;0.881571;-1.5708;1.4412;-0.507136;0.62837;1.47523;-1.27317;0.125185;0.363;3.72278;0.881571;0;-0.989606;0.881571;-1.5708;2.0368;0.881615;-1.5708;-3.08401;0.881872;-1.5708;-0.0575782;0.881872;-1.5708;1.10479;0.881614;-1.5708;-2.15199;0.881571;-1.5708;-0.989606;0.881571;-1.5708;-1.29701e-010;0;0;-1.57053;0.000528984;1.57053;-8.74849e-006;-7.7704e-006;-9.7809e-007;4.44435e-009;4.31465e-009;1.29701e-010;-4.60323e-009;-4.30878e-009;-2.94447e-010;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.168101;-1.29705;-0.381
7;0.03;0.0125167;0.000623528;0.0205229;0.0274111;0.000632092;1.25041e-005;0.000804863;0.0206216;1.01718e-005;-3.29076e-007;-1.59219e-005;7.35562e-005;-2.22365e-007;9.30087e-009;1.04574e-006;-1.59485e-005;-6.74394e-007;6;-6.56957e-007;-7.73329e-009;-6.57787e-007;-0.00152843;6;-0.01166;-4.46124e-007;-0.000146132;530.633;772.387;199.993;193.097;1703.77;1.0938e-005;1.56603e-006;8.60072e-009;7.00145e-010;-7.47576e-009;-2.57529e-010;0.000849894;1.17306e-006;-0.000146132;-6.57787e-007;0.0206216;-1.59485e-005;0.0395117;9.34135e-005;-0.0145824;0;0;0;0;0;0;0;1.20001;9.37061e-006;0.194105;-0.381;2.618;0;0;2.618;0;0;1.19999;0.168109;-0.0970526;-0.381;0.523603;0;0;0.523603;0;0;1.2;-0.168091;-0.0970526;-0.381;-1.57081;0;0;-1.57081;0;0;1.44128;-0.290634;0.75337;1.47532;0.52817;1.16519;0.363;0.466007;0.8816;0;2.0368;0.8816;-1.5708;1.4418;0.797736;0.125;1.476;0.744996;1.04;0.363;1.62837;0.881909;0;-3.08402;0.881909;-1.5708;1.4418;0.797736;-0.125;1.476;0.744996;-1.04;0.363;4.65481;0.881908;0;-0.0575747;0.881908;-1.5708;1.44128;-0.290634;-0.75337;1.47532;0.52817;-1.16519;0.363;5.81718;0.881599;0;1.10479;0.881599;-1.5708;1.44116;-0.50714;-0.62837;1.47518;-1.27317;-0.125185;0.363;2.5604;0.881549;0;-2.15199;0.881549;-1.5708;1.44116;-0.50714;0.62837;1.47518;-1.27317;0.125185;0.363;3.72278;0.881549;0;-0.989604;0.881549;-1.5708;2.0368;0.8816;-1.5708;-3.08402;0.881909;-1.5708;-0.0575747;0.881908;-1.5708;1.10479;0.881599;-1.5708;-2.15199;0.881549;-1.5708;-0.989604;0.881549;-1.5708;-2.57529e-010;0;0;-1.57044;0.000632092;1.57044;-1.25041e-005;-1.0938e-005;-1.56603e-006;7.73329e-009;7.47576e-009;2.57529e-010;-9.30087e-009;-8.60072e-009;-7.00145e-010;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.168102;-1.29705;-0.381
8;0.035;0.016936;0.000717154;0.0173307;0.0367044;0.000719335;1.74055e-005;0.00104745;0.0174486;1.45784e-005;-4.79706e-007;-2.23031e-005;0.000103934;-3.34088e-007;1.68188e-008;1.64014e-006;-2.23446e-005;-9.85319e-007;7;-9.63746e-007;-1.25592e-008;-9.6519e-007;-0.00215846;7;-0.0166157;-1.43659e-006;-0.000250054;523.737;794.609;218;208.039;1752.81;1.50236e-005;2.3819e-006;1.53655e-008;1.45331e-009;-1.209e-008;-4.69258e-010;0.00111068;1.83413e-006;-0.000250054;-9.6519e-007;0.0174486;-2.23446e-005;0.0521567;0.000132214;-0.0207842;0;0;0;0;0;0;0;1.20001;1.26394e-005;0.194105;-0.381;2.618;0;0;2.618;0;0;1.19999;0.168113;-0.0970526;-0.381;0.523605;0;0;0.523605;0;0;1.2;-0.168087;-0.0970526;-0.381;-1.57081;0;0;-1.57081;0;0;1.44126;-0.290638;0.75337;1.47529;0.528169;1.16519;0.363;0.466005;0.881586;0;2.0368;0.881586;-1.5708;1.44185;0.797731;0.125;1.47607;0.744996;1.04;0.363;1.62837;0.881939;0;-3.08402;0.881939;-1.5708;1.44185;0.797731;-0.125;1.47607;0.744996;-1.04;0.363;4.65482;0.881939;0;-0.0575702;0.881939;-1.5708;1.44126;-0.290638;-0.75337;1.47529;0.528169;-1.16519;0.363;5.81718;0.881586;0;1.10479;0.881586;-1.5708;1.44112;-0.507145;-0.62837;1.47513;-1.27317;-0.125185;0.363;2.5604;0.881531;0;-2.15199;0.881531;-1.5708;1.44112;-0.507145;0.62837;1.47513;-1.27317;0.125185;0.363;3.72279;0.881531;0;-0.989602;0.881531;-1.5708;2.0368;0.881586;-1.5708;-3.08402;0.881939;-1.5708;-0.0575702;0.881939;-1.5708;1.10479;0.881586;-1.5708;-2.15199;0.881531;-1.5708;-0.989602;0.881531;-1.5708;-4.69258e-010;0;0;-1.57033;0.000719335;1.57033;-1.74055e-005;-1.50236e-005;-2.3819e-006;1.25592e-008;1.209e-008;4.69258e-010;-1.68188e-008;-1.53655e-008;-1.45331e-009;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.168102;-1.29705;-0.381
9;0.04;0.0225675;0.00080505;0.0172772;0.0494847;0.000806392;2.38215e-005;0.00137146;0.0174113;1.74245e-005;-6.78076e-007;-3.02735e-005;0.000126937;-4.85768e-007;2.80161e-008;2.49521e-006;-3.03359e-005;-1.40449e-006;8;-1.37277e-006;-1.94348e-008;-1.37511e-006;-0.00238957;8;-0.0186269;-2.97821e-006;-0.000366596;557.069;882.729;237.923;221.448;1907.98;2.03286e-005;3.49289e-006;2.52853e-008;2.73082e-009;-1.86337e-008;-8.01123e-010;0.00145573;2.64477e-006;-0.000366596;-1.37511e-006;0.0174113;-3.03359e-005;0.0690105;0.000162127;-0.0233086;0;0;0;0;0;0;0;1.20002;1.68323e-005;0.194105;-0.381;2.618;0;0;2.618;0;0;1.19998;0.168117;-0.0970526;-0.381;0.523607;0;0;0.523607;0;0;1.2;-0.168083;-0.0970526;-0.381;-1.57081;0;0;-1.57081;0;0;1.44124;-0.290645;0.75337;1.47526;0.528168;1.16519;0.363;0.466002;0.881572;0;2.0368;0.881572;-1.5708;1.44191;0.797724;0.125;1.47614;0.744995;1.04;0.363;1.62836;0.881969;0;-3.08403;0.881969;-1.5708;1.44191;0.797724;-0.125;1.47614;0.744995;-1.04;0.363;4.65482;0.881969;0;-0.0575643;0.881969;-1.5708;1.44124;-0.290645;-0.75337;1.47526;0.528168;-1.16519;0.363;5.81718;0.881571;0;1.10479;0.881571;-1.5708;1.44108;-0.507151;-0.62837;1.47509;-1.27317;-0.125185;0.363;2.5604;0.881513;0;-2.15199;0.881513;-1.5708;1.44108;-0.507151;0.62837;1.47509;-1.27317;0.125185;0.363;3.72279;0.881513;0;-0.989599;0.881513;-1.5708;2.0368;0.881572;-1.5708;-3.08403;0.881969;-1.5708;-0.0575643;0.881969;-1.5708;1.10479;0.881571;-1.5708;-2.15199;0.881513;-1.5708;-0.989599;0.881513;-1.5708;-8.01123e-010;0;0;-1.57019;0.000806392;1.57019;-2.38215e-005;-2.03286e-005;-3.49289e-006;1.94348e-008;1.86337e-008;8.01123e-010;-2.80161e-008;-2.52853e-008;-2.73082e-009;-1.03923;0.794105;-0.381;1.20733;0.502947;-0.381;-0.168104;-1.29705;-0.381
10;0.045;0.02904;0.000885866;0.0139937;0.0663474;0.000877111;3.22373e-005;0.00180078;0.0141439;2.39795e-005;-9.3156e-007;-3.97991e-005;0.000169109;-6.85216e-007;4.3945e-008;3.45544e-006;-3.98898e-005;-1.90572e-006;9;-1.87101e-006;-2.8808e-008;-1.87464e-006;-0.0033424;9;-0.0253927;-5.20842e-006;-0.000525484;582.356;831.006;209.954;201.909;1833.27;2.72492e-005;4.98809e-006;3.91881e-008;4.75697e-009;-2.75094e-008;-1.29864e-009;0.0019106;3.7268e-006;-0.000525484;-1.87464e-006;0.0141439;-3.98898e-005;0.0909736;0.000216407;-0.0317774;0;0;0;0;0;0;0;1.20002;2.22561e-005;0.194105;-0.381;2.61801;0;0;2.61801;0;0;1.19998;0.168122;-0.0970526;-0.381;0.52361;0;0;0.52361;0;0;1.2;-0.168078;-0.0970526;-0.381;-1.57082;0;0;-1.57082;0;0;1.44123;-0.290653;0.75337;1.47524;0.528166;1.16519;0.363;0.465999;0.881558;0;2.0368;0.881558;-1.5708;1.44195;0.797716;0.125;1.47619;0.744993;1.04;0.363;1.62835;0.881993;0;-3.08404;0.881993;-1.5708;1.44195;0.797716;-0.125;1.47619;0.744993;-1.04;0.363;4.65483;0.881993;0;-0.0575568;0.881993;-1.5708;1.44123;-0.290653;-0.753371;1.47524;0.528166;-1.16519;0.363;5.81719;0.881558;0;1.1048;0.881558;-1.5708;1.44105;-0.507159;-0.62837;1.47505;-1.27317;-0.125185;0.363;2.56039;0.881499;0;-2.152;0.881499;-1.5708;1.44105;-0.507159;0.62837;1.47505;-1.27317;0.125185;0.363;3.72279;0.8815;0;-0.989595;0.8815;-1.5708;2.0368;0.881558;-1.5708;-3.08404;0.881993;-1.5708;-0.0575568;0.881993;-1.5708;1.1048;0.881558;-1.5708;-2.152;0.881499;-1.5708;-0.989595;0.8815;-1.5708;-1.29864e-009;0;0;-1.57002;0.000877112;1.57002;-3.22373e-005;-2.72492e-005;-4.98809e-006;2.8808e-008;2.75094e-008;1.29864e-009;-4.3945e-008;-3.91881e-008;-4.75697e-009;-1.03924;0.794105;-0.381;1.20733;0.502947;-0.381;-0.168105;-1.29705;-0.381
